accession	label
PP291578.1	HEV1
PP291577.1	HEV1
MN401238.1	HEV1
NC_001434.1	HEV1
MH074880.1	HEV1
KY436507.1	HEV1
KY436506.1	HEV1
KY436505.1	HEV1
AY204877.1	HEV1
JQ655736.1	HEV4
JQ655735.1	HEV4
JQ655733.1	HEV4
JQ655734.1	HEV1
MH809516.1	HEV2
PV089671.1	HEV3
PV089670.1	HEV3
PV089669.1	HEV3
PV089668.1	HEV3
PV089667.1	HEV3
PV089666.1	HEV3
PV089665.1	HEV3
PV089664.1	HEV3
PV089663.1	HEV3
PV089662.1	HEV3
PP706698.1	HEV3
OQ286030.1	HEV3
MT920909.1	HEV3
MW596896.1	HEV3
MW355404.1	HEV3
MW355403.1	HEV3
MW355402.1	HEV3
MW355401.1	HEV3
MW355400.1	HEV3
MW355399.1	HEV3
MW355398.1	HEV3
MW355397.1	HEV3
MW355396.1	HEV3
MW355395.1	HEV3
MW355394.1	HEV3
MW355393.1	HEV3
MW355392.1	HEV3
MW355391.1	HEV3
MW355390.1	HEV3
MW355389.1	HEV3
MW355388.1	HEV3
MW355387.1	HEV3
MW355386.1	HEV3
MW355385.1	HEV3
MW355384.1	HEV3
MW355383.1	HEV3
MW355382.1	HEV3
MW355381.1	HEV3
MW355380.1	HEV3
MW355379.1	HEV3
KR872417.1	HEV4
KR872416.1	HEV4
KR872415.1	HEV4
KR872414.1	HEV4
KC692453.1	HEV4
KC163335.1	HEV4
KC492825.1	HEV4
JF915746.1	HEV4
JQ740781.1	HEV4
JQ993308.1	HEV4
GU206559.1	HEV4
HQ634346.1	HEV4
HM439284.1	HEV4
HM152568.1	HEV4
AY723745.1	HEV4
EU366959.1	HEV4
EF570133.1	HEV4
DQ450072.1	HEV4
AJ272108.1	HEV4
