accession	label
PX480300.1	DENV1
PX480299.1	DENV1
PX480298.1	DENV1
PX480297.1	DENV1
PX480296.1	DENV1
PX480295.1	DENV1
PX480294.1	DENV1
PX480293.1	DENV1
PX480292.1	DENV1
PX480291.1	DENV1
PX480290.1	DENV1
PX480289.1	DENV1
PX480288.1	DENV1
PX480287.1	DENV1
PX480286.1	DENV1
PX480285.1	DENV1
PX480284.1	DENV1
PX480283.1	DENV1
PX480282.1	DENV1
PX480281.1	DENV1
PX480280.1	DENV1
PX480279.1	DENV1
PX480278.1	DENV1
PX480277.1	DENV1
PX480276.1	DENV1
PX480275.1	DENV1
PX480274.1	DENV1
PX480273.1	DENV1
PX480272.1	DENV1
PX480271.1	DENV1
PX480270.1	DENV1
PX480269.1	DENV1
PX480268.1	DENV1
PX480267.1	DENV1
PX480266.1	DENV1
PX480265.1	DENV1
PX480264.1	DENV1
PX480263.1	DENV1
PX480262.1	DENV1
PX480261.1	DENV1
PX480260.1	DENV1
PX480259.1	DENV1
PX480258.1	DENV1
PX480257.1	DENV1
PX480256.1	DENV1
PX480255.1	DENV1
PX480254.1	DENV1
PX480253.1	DENV1
PX480252.1	DENV1
PX480251.1	DENV1
PX480250.1	DENV1
PX480249.1	DENV1
PX480248.1	DENV1
PX480247.1	DENV1
PX480246.1	DENV1
PX480245.1	DENV1
PX461619.1	DENV1
PX461615.1	DENV1
PX297368.1	DENV1
PX297367.1	DENV1
PX297365.1	DENV1
PX297362.1	DENV1
PX297359.1	DENV1
PX282469.1	DENV1
PX282467.1	DENV1
PX282464.1	DENV1
PX282457.1	DENV1
PV798798.1	DENV1
PV789653.1	DENV1
PV344274.1	DENV1
PV344273.1	DENV1
PV344271.1	DENV1
PV344268.1	DENV1
PV344266.1	DENV1
PV344263.1	DENV1
PV344260.1	DENV1
PV344259.1	DENV1
PV344258.1	DENV1
PV083773.1	DENV1
PV083756.1	DENV1
PV083749.1	DENV1
PV083748.1	DENV1
LC793495.1	DENV1
LC793494.1	DENV1
PQ357572.1	DENV1
PQ357570.1	DENV1
PQ357542.1	DENV1
PQ357540.1	DENV1
PQ357538.1	DENV1
PQ357537.1	DENV1
PQ357536.1	DENV1
PP564823.1	DENV1
PP563875.1	DENV1
PP563826.1	DENV1
PP540290.1	DENV1
OR418422.1	DENV1
OM250394.1	DENV1
MG721063.2	DENV1
MH822959.2	DENV1
OM281599.1	DENV1
PX460918.1	DENV2
PX480331.1	DENV2
PX480330.1	DENV2
PX480329.1	DENV2
PX480328.1	DENV2
PX480327.1	DENV2
PX480326.1	DENV2
PX480325.1	DENV2
PX480324.1	DENV2
PX480323.1	DENV2
PX480322.1	DENV2
PX480321.1	DENV2
PX480320.1	DENV2
PX480319.1	DENV2
PX480318.1	DENV2
PX480317.1	DENV2
PX480316.1	DENV2
PX480315.1	DENV2
PX480314.1	DENV2
PX480313.1	DENV2
PX480312.1	DENV2
PX480311.1	DENV2
PX480310.1	DENV2
PX480309.1	DENV2
PX480308.1	DENV2
PX480307.1	DENV2
PX480306.1	DENV2
PX480305.1	DENV2
PX480304.1	DENV2
PX480303.1	DENV2
PX480302.1	DENV2
PX480301.1	DENV2
PX492105.1	DENV2
PX468539.1	DENV2
PX468538.1	DENV2
PX468537.1	DENV2
PV752130.1	DENV2
PV752129.1	DENV2
PV752128.1	DENV2
PV752127.1	DENV2
PV752126.1	DENV2
PV752125.1	DENV2
PV752124.1	DENV2
PV752123.1	DENV2
PV752122.1	DENV2
PV752121.1	DENV2
PV752120.1	DENV2
PV752119.1	DENV2
PV752118.1	DENV2
PV752117.1	DENV2
PV752116.1	DENV2
PV752115.1	DENV2
PV752114.1	DENV2
PV752113.1	DENV2
PV752112.1	DENV2
PV752111.1	DENV2
PV752110.1	DENV2
PV752109.1	DENV2
PV752108.1	DENV2
PV752107.1	DENV2
PV752106.1	DENV2
PV752105.1	DENV2
PV752104.1	DENV2
PV752103.1	DENV2
PV752102.1	DENV2
PV752101.1	DENV2
PV752100.1	DENV2
PV752099.1	DENV2
PV752098.1	DENV2
