accession	label
NC_045512	Original
MT072688	Original
MT121215	Original
MT020881	Original
MT039890	Original
MT066156	Original
MN988669	Original
MN994468	Original
OL689430	Alpha
OQ350825	Alpha
MW580244	Alpha
MW642250	Alpha
OV412376	Alpha
MW633892	Alpha
MW598419	Beta
MW598408	Beta
MW981442	Beta
MW981468	Beta
MW598434	Beta
OK091006	Delta
MZ359841	Delta
OK042932	Delta
MZ571142	Delta
OK161679	Delta
OL672836	Delta
OL672899	Omicron
OM287553	Omicron
OL845680	Omicron
OM367175	Omicron
OM287549	Omicron
ON249995	Omicron
