accession	label
OR353131.1	Beta
OR322476.1	Beta
OR322467.1	Beta
OR278055.1	Beta
OR274549.1	Beta
OR274547.1	Beta
OQ900811.1	Beta
OQ899960.1	Beta
OQ897488.1	Beta
OQ896567.1	Beta
MZ433432.1	Beta
MZ427312.1	Gamma
MZ314997.2	Beta
MZ314996.2	Beta
MZ314998.1	Beta
MZ068161.1	Beta
MZ068160.1	Beta
MZ068155.1	Beta
MZ068154.1	Beta
MW642250.1	Gamma
MW642248.1	Gamma
OR701610.1	Gamma
OR322710.1	Gamma
OR322709.1	Gamma
OR322707.1	Gamma
OR322706.1	Gamma
OR279393.1	Gamma
OR279057.1	Gamma
OR273956.1	Gamma
OQ907679.1	Gamma
OQ907601.1	Gamma
OQ905774.1	Gamma
OQ905694.1	Gamma
OQ903601.1	Gamma
OQ903451.1	Gamma
OQ903133.1	Gamma
OQ902994.1	Gamma
OQ900766.1	Gamma
OQ897885.1	Gamma
OQ897832.1	Gamma
OQ897551.1	Gamma
MZ477859.1	Gamma
MZ477858.1	Gamma
MZ477857.1	Gamma
MZ477856.1	Gamma
MZ477855.1	Gamma
MZ477854.1	Gamma
MZ477853.1	Gamma
MZ477852.1	Gamma
MZ477851.1	Gamma
MZ477849.1	Gamma
MZ477848.1	Gamma
MZ477847.1	Gamma
MZ477846.1	Gamma
MZ477843.1	Gamma
MZ477842.1	Gamma
MZ477841.1	Gamma
MZ477840.1	Gamma
MZ477838.1	Gamma
MZ477837.1	Gamma
MZ477835.1	Gamma
MZ477834.1	Gamma
MZ477833.1	Gamma
MZ477832.1	Gamma
MZ477831.1	Gamma
MZ477830.1	Gamma
MZ477829.1	Gamma
MZ477828.1	Gamma
MZ477827.1	Gamma
MZ477825.1	Gamma
MZ477824.1	Gamma
MZ477822.1	Gamma
MZ477821.1	Gamma
MZ477820.1	Gamma
MZ477819.1	Gamma
MZ477818.1	Gamma
MZ477817.1	Gamma
MZ477816.1	Gamma
MZ477815.1	Gamma
MZ477814.1	Gamma
MZ477813.1	Gamma
MZ477811.1	Gamma
MZ477810.1	Gamma
MZ477807.1	Gamma
MZ477806.1	Gamma
MZ477805.1	Gamma
MZ477804.1	Gamma
MZ477801.1	Gamma
MZ477800.1	Gamma
MZ477799.1	Gamma
MZ477798.1	Gamma
MZ477797.1	Gamma
MZ477796.1	Gamma
MZ477795.1	Gamma
MZ477793.1	Gamma
MZ477792.1	Gamma
MZ477790.1	Gamma
MZ477788.1	Gamma
MZ477787.1	Gamma
MZ477786.1	Gamma
MZ477769.1	Gamma
MZ477764.1	Gamma
MZ477762.1	Gamma
MZ477758.1	Gamma
MZ477757.1	Gamma
MZ477756.1	Gamma
MZ477755.1	Gamma
MZ477754.1	Gamma
MZ477753.1	Gamma
MZ477751.1	Gamma
MZ477748.1	Gamma
MZ477746.1	Gamma
MZ477745.1	Gamma
MZ264787.1	Gamma
MW988205.1	Gamma
MW988204.1	Gamma
PP515676.1	Delta
PP515675.1	Delta
OR323381.1	Delta
OR323348.1	Delta
OR323317.1	Delta
OR323300.1	Delta
OR323282.1	Delta
OR323281.1	Delta
OR323276.1	Delta
OR323275.1	Delta
OR323273.1	Delta
OR323213.1	Delta
OR323144.1	Delta
OR323039.1	Delta
OR322908.1	Delta
OR322800.1	Delta
OR322776.1	Delta
OR322732.1	Delta
OR322731.1	Delta
OR322714.1	Delta
OR282403.1	Delta
OR281251.1	Delta
OR280485.1	Delta
OR280277.1	Delta
OR280176.1	Delta
OR280152.1	Delta
OR279985.1	Delta
OR279910.1	Delta
OR279856.1	Delta
OR279758.1	Delta
OR278667.1	Delta
OR278511.1	Delta
OR278461.1	Delta
OR277100.1	Delta
OR276860.1	Delta
OR276351.1	Delta
OR276049.1	Delta
OR275781.1	Delta
OR275780.1	Delta
OR275779.1	Delta
OR275766.1	Delta
OR275561.1	Delta
OR275486.1	Delta
OR275308.1	Delta
OR275254.1	Delta
OR275154.1	Delta
OR274858.1	Delta
OR274568.1	Delta
OR274296.1	Delta
OR273303.1	Delta
OR273258.1	Delta
OR273166.1	Delta
OR273165.1	Delta
OR273146.1	Delta
OR273076.1	Delta
OR273035.1	Delta
OQ907665.1	Delta
OQ907495.1	Delta
OQ907104.1	Delta
OQ906187.1	Delta
OQ905943.1	Delta
OQ905919.1	Delta
OQ905573.1	Delta
OQ905443.1	Delta
OQ904939.1	Delta
OQ904737.1	Delta
OQ904689.1	Delta
OQ904544.1	Delta
OQ903802.1	Delta
OQ903167.1	Delta
OQ903073.1	Delta
OQ902509.1	Delta
OQ902236.1	Delta
OQ901675.1	Delta
OQ901540.1	Delta
OQ901289.1	Delta
OQ900768.1	Delta
OQ900761.1	Delta
OQ900591.1	Delta
OQ900517.1	Delta
OQ900102.1	Delta
OQ900035.1	Delta
OQ898801.1	Delta
OQ898683.1	Delta
OQ898515.1	Delta
OQ899427.1	Delta
OQ898317.1	Delta
OQ898055.1	Delta
OQ898003.1	Delta
OQ897390.1	Delta
OQ897365.1	Delta
OQ897354.1	Delta
OQ897295.1	Delta
OQ897291.1	Delta
OQ897252.1	Delta
OQ897251.1	Delta
OQ897158.1	Delta
OQ897080.1	Delta
OQ896966.1	Delta
OQ896901.1	Delta
PX937218.1	Omicron
PP847536.1	Omicron
PP846150.1	Omicron
OR357845.1	Omicron
OR357817.1	Omicron
OR357783.1	Omicron
OR323945.1	Omicron
OR323940.1	Omicron
OR323937.1	Omicron
OR323936.1	Omicron
OR323935.1	Omicron
OR323931.1	Omicron
OR323929.1	Omicron
OR323928.1	Omicron
OR323922.1	Omicron
OR323920.1	Omicron
OR323916.1	Omicron
OR323915.1	Omicron
OR323913.1	Omicron
OR323912.1	Omicron
OR323910.1	Omicron
OR323907.1	Omicron
OR323906.1	Omicron
OR323903.1	Omicron
OR323902.1	Omicron
OR323900.1	Omicron
OR323895.1	Omicron
OR323892.1	Omicron
OR323891.1	Omicron
OR323884.1	Omicron
OR323881.1	Omicron
OR323875.1	Omicron
OR323874.1	Omicron
OR323873.1	Omicron
OR323872.1	Omicron
OR323871.1	Omicron
OR323870.1	Omicron
OR323869.1	Omicron
OR323868.1	Omicron
OR323867.1	Omicron
OR323866.1	Omicron
OR323865.1	Omicron
OR323863.1	Omicron
OR323861.1	Omicron
OR323860.1	Omicron
OR323858.1	Omicron
OR323857.1	Omicron
OR323855.1	Omicron
OR323854.1	Omicron
OR323852.1	Omicron
OR323851.1	Omicron
OR323850.1	Omicron
OR323849.1	Omicron
OR323848.1	Omicron
OR323845.1	Omicron
OR323844.1	Omicron
OR323843.1	Omicron
OR323841.1	Omicron
OR323840.1	Omicron
OR323839.1	Omicron
OR323838.1	Omicron
OR323837.1	Omicron
OR323832.1	Omicron
OR323829.1	Omicron
OR323828.1	Omicron
OR323827.1	Omicron
OR323826.1	Omicron
OR323825.1	Omicron
OR323821.1	Omicron
OR323819.1	Omicron
OR323817.1	Omicron
OR323814.1	Omicron
OR323813.1	Omicron
OR323812.1	Omicron
OR323808.1	Omicron
OR323807.1	Omicron
OR323806.1	Omicron
OR323805.1	Omicron
OR323804.1	Omicron
OR323802.1	Omicron
OR323801.1	Omicron
OR323800.1	Omicron
OR323798.1	Omicron
OR323795.1	Omicron
OR323794.1	Omicron
OR323790.1	Omicron
OR323788.1	Omicron
OR323785.1	Omicron
OR323784.1	Omicron
OR323783.1	Omicron
OR323782.1	Omicron
OR323780.1	Omicron
OR323778.1	Omicron
OR323777.1	Omicron
OR323776.1	Omicron
OR323773.1	Omicron
OR323771.1	Omicron
OR323768.1	Omicron
OR323767.1	Omicron
OR323765.1	Omicron
