accession	label
PZ281607.1	H1N1
PZ278088.1	H1N1
PZ278075.1	H1N1
PZ278072.1	H1N1
PZ278065.1	H1N1
PZ278053.1	H1N1
PZ278048.1	H1N1
PZ278035.1	H1N1
PZ277479.1	H1N1
PZ275802.1	H1N1
PZ275794.1	H1N1
PZ275786.1	H1N1
PZ275604.1	H1N1
PZ275596.1	H1N1
PZ275588.1	H1N1
PZ275580.1	H1N1
PZ275572.1	H1N1
PZ275564.1	H1N1
PZ275556.1	H1N1
PZ275548.1	H1N1
PZ275540.1	H1N1
PZ275532.1	H1N1
PZ275524.1	H1N1
PZ275516.1	H1N1
PZ275508.1	H1N1
PZ275492.1	H1N1
PZ275485.1	H1N1
PZ275297.1	H1N1
PZ273431.1	H1N1
PZ273430.1	H1N1
PZ273429.1	H1N1
PZ273428.1	H1N1
PZ273427.1	H1N1
PZ273426.1	H1N1
PZ273425.1	H1N1
PZ273424.1	H1N1
PZ273423.1	H1N1
PZ273422.1	H1N1
PZ273421.1	H1N1
PZ273420.1	H1N1
PZ273419.1	H1N1
PZ273418.1	H1N1
PZ273417.1	H1N1
PZ273416.1	H1N1
PZ273415.1	H1N1
PZ272997.1	H1N1
PZ270172.1	H1N1
PZ268034.1	H1N1
PZ266500.1	H1N1
PZ266492.1	H1N1
PZ266484.1	H1N1
PZ266244.1	H1N1
PZ262423.1	H1N1
PZ262421.1	H1N1
PZ262419.1	H1N1
PZ262413.1	H1N1
PZ262401.1	H1N1
PZ262399.1	H1N1
PZ262387.1	H1N1
PZ262381.1	H1N1
PZ262375.1	H1N1
PZ262365.1	H1N1
PZ252173.1	H1N1
PZ252165.1	H1N1
PZ252157.1	H1N1
PZ252149.1	H1N1
PZ252141.1	H1N1
PZ252133.1	H1N1
PZ252125.1	H1N1
PZ252117.1	H1N1
PZ252109.1	H1N1
PZ252101.1	H1N1
PZ252093.1	H1N1
PZ252085.1	H1N1
PZ252077.1	H1N1
PZ284289.1	H3N2
PZ280167.1	H3N2
PZ278032.1	H3N2
PZ278020.1	H3N2
PZ278018.1	H3N2
PZ278016.1	H3N2
PZ278012.1	H3N2
PZ277984.1	H3N2
PZ277980.1	H3N2
PZ277974.1	H3N2
PZ277958.1	H3N2
PZ277944.1	H3N2
PZ277940.1	H3N2
PZ277938.1	H3N2
PZ277932.1	H3N2
PZ277928.1	H3N2
PZ277924.1	H3N2
PZ277918.1	H3N2
PZ277916.1	H3N2
PZ277901.1	H3N2
PZ277898.1	H3N2
PZ277880.1	H3N2
PZ277875.1	H3N2
PZ277873.1	H3N2
PZ277857.1	H3N2
PZ277856.1	H3N2
PZ277843.1	H3N2
PZ277836.1	H3N2
PZ277823.1	H3N2
PZ277822.1	H3N2
PZ277821.1	H3N2
PZ277809.1	H3N2
PZ277800.1	H3N2
PZ277790.1	H3N2
PZ277786.1	H3N2
PZ277783.1	H3N2
PZ277781.1	H3N2
PZ277769.1	H3N2
PZ277768.1	H3N2
PZ277764.1	H3N2
PZ277760.1	H3N2
PZ277757.1	H3N2
PZ277751.1	H3N2
PZ277736.1	H3N2
PZ277705.1	H3N2
PZ277694.1	H3N2
PZ277691.1	H3N2
PZ277684.1	H3N2
PZ277666.1	H3N2
PZ277658.1	H3N2
PZ277653.1	H3N2
PZ277648.1	H3N2
PZ277640.1	H3N2
PZ277638.1	H3N2
PZ277629.1	H3N2
PZ277622.1	H3N2
PZ277619.1	H3N2
PZ277618.1	H3N2
PZ277615.1	H3N2
PZ277591.1	H3N2
PZ277589.1	H3N2
PZ277585.1	H3N2
PZ277567.1	H3N2
PZ277541.1	H3N2
PZ277538.1	H3N2
PZ277470.1	H3N2
PZ277467.1	H3N2
PZ277463.1	H3N2
PZ277433.1	H3N2
PZ277432.1	H3N2
PZ277421.1	H3N2
PZ277418.1	H3N2
PZ277417.1	H3N2
PZ277401.1	H3N2
PZ275778.1	H3N2
PZ284345.1	H5N1
PZ284337.1	H5N1
PZ284329.1	H5N1
PZ284321.1	H5N1
PZ284313.1	H5N1
PZ284305.1	H5N1
PZ284297.1	H5N1
PZ284281.1	H5N1
PZ284265.1	H5N1
PZ284257.1	H5N1
PZ284249.1	H5N1
PZ284241.1	H5N1
PZ284233.1	H5N1
PZ284225.1	H5N1
PZ284217.1	H5N1
PZ284201.1	H5N1
PZ284193.1	H5N1
PZ284177.1	H5N1
PZ284169.1	H5N1
PZ284153.1	H5N1
PZ284145.1	H5N1
PZ284137.1	H5N1
PZ284129.1	H5N1
PZ284121.1	H5N1
PZ284113.1	H5N1
PZ284105.1	H5N1
PZ284097.1	H5N1
PZ284089.1	H5N1
PZ284081.1	H5N1
PZ284073.1	H5N1
PZ284065.1	H5N1
PZ284057.1	H5N1
PZ284049.1	H5N1
PZ284041.1	H5N1
PZ284033.1	H5N1
PZ284025.1	H5N1
PZ284017.1	H5N1
PZ284009.1	H5N1
PZ284001.1	H5N1
PZ283993.1	H5N1
PZ283985.1	H5N1
PZ283977.1	H5N1
PZ283969.1	H5N1
PZ283961.1	H5N1
PZ283953.1	H5N1
PZ283945.1	H5N1
PZ283937.1	H5N1
PZ283929.1	H5N1
PZ283921.1	H5N1
PZ283913.1	H5N1
PZ283905.1	H5N1
