accession	label
CY121680	H1N1
CY017300	H1N1
CY006259	H1N1
CY009444	H1N1
CY019245	H1N1
CY009388	H1N1
CY020205	H1N1
CY006107	H1N1
CY021725	H1N1
CY009332	H1N1
CY019869	H1N1
CY006203	H1N1
CY022477	H1N1
CY020349	H1N1
CY009276	H1N1
CY006035	H3N2
CY003624	H3N2
CY002064	H3N2
CY003400	H3N2
CY002440	H3N2
CY003760	H3N2
CY003328	H3N2
CY003176	H3N2
CY001360	H3N2
CY003688	H3N2
CY002816	H3N2
CY002288	H3N2
CY003552	H3N2
CY001712	H3N2
CY002136	H3N2
DQ320936	H5N1
EF541402	H5N1
AB239124	H5N1
DQ320942	H5N1
EF541404	H5N1
AB239125	H5N1
DQ320948	H5N1
DQ320900	H5N1
EF541406	H5N1
DQ320906	H5N1
AB239126	H5N1
DQ320912	H5N1
DQ320918	H5N1
DQ320924	H5N1
DQ320930	H5N1
KF918669	H7N9
KJ473710	H7N9
KJ473716	H7N9
KJ473722	H7N9
KJ473728	H7N9
KJ473734	H7N9
KJ473740	H7N9
KF918675	H7N9
KF918681	H7N9
KJ473746	H7N9
KJ473752	H7N9
KF918687	H7N9
KF918693	H7N9
KJ473758	H7N9
KJ473764	H7N9
