accession	label
NC_012920	Primates
NC_001643	Primates
NC_011120	Primates
NC_001646	Primates
NC_002082	Primates
NC_005943	Primates
NC_001992	Primates
NC_000891	Primates
NC_004025	Primates
NC_005089	Rodentia
NC_001665	Rodentia
NC_000884	Rodentia
NC_002369	Rodentia
NC_002008	Carnivora
NC_001700	Carnivora
NC_003427	Carnivora
NC_009691	Carnivora
NC_006853	Artiodactyla
NC_000845	Artiodactyla
NC_001941	Artiodactyla
NC_005044	Artiodactyla
NC_001321	Cetacea
NC_005275	Cetacea
NC_001640	Perissodactyla
NC_001788	Perissodactyla
NC_005432	Chiroptera
NC_002080	Eulipotyphla
NC_000934	Proboscidea
NC_004032	Cingulata
NC_001610	Didelphimorphia
NC_001573	Monotremata
