accession	label
LC922675.1	A
PX726324.1	A
PX691035.1	A
PX691034.1	A
PX691032.1	A
LC889326.1	A
LC889325.1	A
LC889324.1	A
LC889322.1	A
LC889321.1	A
LC889319.1	A
LC889318.1	A
LC889317.1	A
LC889316.1	A
LC889315.1	A
LC889312.1	A
LC769225.1	A
LC699418.1	A
LC817388.1	A
LC817387.1	A
LC756673.1	A
LC756672.1	A
LC857137.1	A
LC857136.1	A
LC857135.1	A
PQ523786.1	A
PQ241447.1	A
PP997254.1	A
PP991508.1	A
PP991507.1	A
PP991506.1	A
LC699424.1	A
LC699423.1	A
LC699422.1	A
LC699421.1	A
LC699420.1	A
LC699419.1	A
LC699417.1	A
LC699416.1	A
LC699415.1	A
LC699414.1	A
PP591756.1	A
PP411923.1	A
PP411922.1	A
OL961550.1	A
OL961549.1	A
OL961548.1	A
OL961547.1	A
OL961546.1	A
OL961540.1	A
OL961539.1	A
OL961534.1	A
OL961532.1	A
OL961529.1	A
OL961528.1	A
OL961527.1	A
OL961523.1	A
OL961519.1	A
OM001470.1	A
OM001468.1	A
OM001463.1	A
OM001462.1	A
OM001458.1	A
OM001457.1	A
OM001454.1	A
OM001452.1	A
OM001450.1	A
OM001449.1	A
OM001446.1	A
OM001444.1	A
OM001442.1	A
OM001433.1	A
OM001432.1	A
OM001430.1	A
OM001429.1	A
OM001426.1	A
OM001424.1	A
OM001421.1	A
OM001420.1	A
OM001419.1	A
OM001416.1	A
OM001414.1	A
OM001410.1	A
OM001405.1	A
OM001401.1	A
OM001400.1	A
OM001399.1	A
OM001398.1	A
OM001397.1	A
OM001396.1	A
OM001394.1	A
OM001392.1	A
OM001391.1	A
OM001390.1	A
OM001388.1	A
OM001387.1	A
OM001386.1	A
OM001385.1	A
OM001384.1	A
OM001383.1	A
LC889320.1	B
FJ445137.1	B
LC769226.1	B
PP125279.1	B
PP125278.1	B
OL961545.1	B
OL961542.1	B
OL961541.1	B
OL961525.1	B
OL961522.1	B
OM001469.1	B
OM001456.1	B
OM001423.1	B
OM001393.1	B
OM001381.1	B
OM001380.1	B
OM001367.1	B
OL638464.1	B
OL638447.1	B
OL638421.1	B
OL638410.1	B
OK649403.1	B
OK649400.1	B
OK649398.1	B
OK539502.1	B
OK539488.1	B
OK539471.1	B
OL133766.1	B
OL133761.1	B
OK254848.1	B
OK254846.1	B
OK254841.1	B
OK254840.1	B
OK254836.1	B
OK181492.1	B
OK181464.1	B
OK161403.1	B
OK161384.1	B
OK161377.1	B
OK017966.1	B
OK017965.1	B
OK017962.1	B
OK017959.1	B
OK017947.1	B
OK017940.1	B
OK017939.1	B
OK017937.1	B
OK017925.1	B
MZ835615.1	B
MZ835613.1	B
MZ835597.1	B
MZ835595.1	B
MZ835583.1	B
MZ835567.1	B
MZ835566.1	B
MZ670591.1	B
MZ670572.1	B
MZ670571.1	B
MZ629178.1	B
MZ629169.1	B
MZ629157.1	B
MZ629155.1	B
MZ629154.1	B
MZ629150.1	B
MZ629146.1	B
MZ629141.1	B
MZ629139.1	B
MZ629135.1	B
MZ629116.1	B
MZ629108.1	B
MZ540953.1	B
MZ540942.1	B
MZ460714.1	B
MZ460710.1	B
MZ460678.1	B
MZ460671.1	B
MZ427503.1	B
MZ363452.1	B
MZ363443.1	B
MZ363431.1	B
MZ363412.1	B
MZ322924.1	B
MZ268667.1	B
MZ268654.1	B
MZ153282.1	B
MZ153267.1	B
MZ153262.1	B
MZ153247.1	B
MW969533.1	B
OQ533275.1	B
ON881124.1	B
MZ667416.2	B
OL638455.1	B
OL638445.1	B
OL638441.1	B
MN369044.1	B
OL961538.1	B
OL961520.1	B
OM001447.1	B
OM001435.1	B
PQ605428.1	C
LC889323.1	C
LC889314.1	C
LC889313.1	C
LC720415.1	C
LC699425.1	C
PQ628106.1	C
PQ602525.1	C
PQ602524.1	C
PQ523792.1	C
PP991504.1	C
PP991503.1	C
OR726587.1	C
OR726586.1	C
OR726585.1	C
PP314216.1	C
GQ323774.1	C
OL961531.1	C
OL961526.1	C
OL961524.1	C
OM001465.1	C
OM001412.1	C
OM001407.1	C
OM001346.1	C
OL638453.1	C
OL638433.1	C
OL638426.1	C
OL638409.1	C
OL365070.1	C
OL365066.1	C
OK649422.1	C
OK649416.1	C
OK649391.1	C
OK539509.1	C
OK539499.1	C
OL133760.1	C
OL133756.1	C
OK254863.1	C
OK254858.1	C
OK254856.1	C
OK254853.1	C
OK254850.1	C
OK254829.1	C
OK181499.1	C
OK181493.1	C
OK181487.1	C
OK181472.1	C
OK181457.1	C
OK161409.1	C
OK161404.1	C
OK161398.1	C
OK161378.1	C
OK161371.1	C
OK161367.1	C
OK161364.1	C
OK017955.1	C
OK017953.1	C
OK017951.1	C
OK017948.1	C
OK017945.1	C
OK017944.1	C
OK017942.1	C
OK017938.1	C
OK017934.1	C
OK017931.1	C
OK017927.1	C
OK017926.1	C
OK017918.1	C
OK017915.1	C
OK017913.1	C
MZ835616.1	C
MZ835598.1	C
MZ835576.1	C
MZ670597.1	C
MZ670596.1	C
MZ670590.1	C
MZ670576.1	C
MZ629181.1	C
MZ629172.1	C
MZ629171.1	C
MZ629168.1	C
MZ629165.1	C
MZ629164.1	C
MZ629160.1	C
MZ629159.1	C
MZ629145.1	C
MZ629123.1	C
MZ629115.1	C
MZ629106.1	C
MZ540954.1	C
MZ540951.1	C
MZ540948.1	C
MZ540947.1	C
MZ460711.1	C
MZ460709.1	C
MZ460707.1	C
MZ460705.1	C
MZ460704.1	C
MZ460703.1	C
MZ460701.1	C
